URL,Filesize,Number of Outgoing links,Content type
http://www.latimes.com/local/weather/?regionalZipCode=92805,222681,81,text/html;charset=UTF-8
http://www.latimes.com/newsletters/la-newsletter-essential-california-signup-page-htmlstory.html,112291,41,text/html;charset=UTF-8
http://www.latimes.com/local/moments/la-me-scm-valley-glow-20160208-story.html,170826,52,text/html;charset=UTF-8
http://www.latimes.com/world/europe/,336561,140,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-basketball-20161220-story.html,183164,62,text/html;charset=UTF-8
http://www.latimes.com/sports/nba/,194482,73,text/html;charset=UTF-8
http://www.latimes.com/fashion/la-ig-wwd-ivanka-trump-online-discounted-20170215-story.html,225185,71,text/html;charset=UTF-8
http://www.latimes.com/entertainment/arts/la-et-cm-la-opera-salome-review-20170219-story.html,229133,61,text/html;charset=UTF-8
http://www.latimes.com/politics/la-na-pol-trump-russia-treason-20170220-story.html,238401,78,text/html;charset=UTF-8
http://www.latimes.com/entertainment/la-et-entertainment-news-updates-kanye-west-debuts-a-drama-free-and-1487205508-htmlstory.html,164037,53,text/html;charset=UTF-8
http://www.latimes.com/travel/la-tr-airfare-box-20170219-story.html,219544,61,text/html;charset=UTF-8
http://www.latimes.com/opinion/op-ed/la-oe-rejali-trump-torture-20170219-story.html,246135,90,text/html;charset=UTF-8
http://www.latimes.com/business/la-fi-montalk-20170219-story.html,232996,73,text/html;charset=UTF-8
http://www.latimes.com/politics/washington/la-na-essential-washington-updates-russia-denies-that-intelligence-agents-1487166625-htmlstory.html,159959,50,text/html;charset=UTF-8
http://www.latimes.com/sports/la-sp-ucla-oregon-plaschke-20170209-story.html,192120,64,text/html;charset=UTF-8
http://www.latimes.com/world/mexico-americas/la-fg-el-salvador-refugees-20170216-htmlstory.html,191226,54,text/html;charset=UTF-8
http://www.latimes.com/local/moments/la-me-scm-the-lone-rider-20160127-story.html,180145,62,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-usc-basketball-20161229-story.html,201832,69,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-ln-oroville-storms-20170217-story.html,246382,84,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-maxwell-flood-scene-20170218-story.html,268179,73,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-folo-20170126-story.html,230246,66,text/html;charset=UTF-8
http://www.latimes.com/local/,366809,125,text/html;charset=UTF-8
http://www.latimes.com/topic/politics-government/federal-aviation-administration-ORGOV00000232-topic.html,198000,112,text/html;charset=UTF-8
http://www.latimes.com/politics/washington/la-na-essential-washington-updates-here-s-why-the-2018-senate-election-1487355299-htmlstory.html,160094,54,text/html;charset=UTF-8
http://www.latimes.com/business/la-fi-kraft-unilever-no-deal-20170219-story.html,228534,69,text/html;charset=UTF-8
http://www.latimes.com/books/jacketcopy/92600946-132.html,162049,45,text/html;charset=UTF-8
http://www.latimes.com/books/jacketcopy/la-ca-jc-rigoberto-gonzalez-20170216-story.html,241219,61,text/html;charset=UTF-8
http://www.latimes.com/local/california/la-me-federal-rail-grant-conflict-20170209-story.html,235378,84,text/html;charset=UTF-8
http://www.latimes.com/fashion/92550049-132.html,160486,44,text/html;charset=UTF-8
http://www.latimes.com/business/92607300-157.html,154010,40,text/html;charset=UTF-8
http://www.latimes.com/la-bio-hugo-martin-staff.html,123668,54,text/html;charset=UTF-8
http://www.latimes.com/home/,321641,142,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-basketball-20170110-story.html,182562,64,text/html;charset=UTF-8
http://www.latimes.com/travel/deals/la-tr-las-vegas-resort-fees-increase-20170216-story.html,233247,79,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-oroville-rain-20170217-story.html,280745,78,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-usc-unbeaten-20161220-story.html,202913,74,text/html;charset=UTF-8
http://www.latimes.com/local/lanow/la-me-ln-new-rain-update-20170219-story.html,362354,83,text/html;charset=UTF-8
http://www.latimes.com/sports/nfl/,393644,168,text/html;charset=UTF-8
http://www.latimes.com/opinion/editorials/la-ed-internment-anniversary-20170219-story.html,239111,68,text/html;charset=UTF-8
http://www.latimes.com/local/weather/?regionalZipCode=92132,222006,81,text/html;charset=UTF-8
http://www.latimes.com/politics/la-na-pol-trump-flynn-20170213-story.html,249320,80,text/html;charset=UTF-8
http://www.latimes.com/business/hiltzik/la-fi-hiltzik-obamacare-ryan-20170217-story.html,270963,94,text/html;charset=UTF-8
http://www.latimes.com/business/la-fi-rentwatch-eviction-notice-20170218-story.html,231841,71,text/html;charset=UTF-8
http://www.latimes.com/fashion/la-ig-zoot-suit-20170216-story.html,238381,66,text/html;charset=UTF-8
http://www.latimes.com/opinion/endorsements/la-ed-cd7-ratliff-20170217-story.html,234723,72,text/html;charset=UTF-8
http://www.latimes.com/science/sciencenow/la-sci-sn-african-penguins-trapped-20170210-story.html,236335,70,text/html;charset=UTF-8
http://www.latimes.com/local/california/la-live-updates-oroville-dam-20170212-htmlstory.html,333635,88,text/html;charset=UTF-8
http://www.latimes.com/nation/la-na-colorado-river-20170217-story.html,251111,80,text/html;charset=UTF-8
http://www.latimes.com/health/la-he-dr-ruth-sexual-health-expo-20170202-story.html,228328,65,text/html;charset=UTF-8
http://www.latimes.com/sports/more/,237008,126,text/html;charset=UTF-8
http://www.latimes.com/sports/ucla/la-sp-ucla-basketball-20170117-story.html,182251,63,text/html;charset=UTF-8
